Infinitive,сосла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сосла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сосла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сосла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сошлю́
2nd Sing,сошлёшь
3rd Sing,сошлёт
1st Pl,сошлём
2nd Pl,сошлёте
3rd Pl,сошлю́т
Past M,сосла́л
Past F,сосла́ла
Past N,сосла́ло
Past PL,сосла́ли
Imp S,сошли́
Imp PL,сошли́те
