Infinitive,совокупля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,совокупля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,совокупля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,совокупля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,совокупля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,совокупля́юсь
2nd Sing,совокупля́ешься
3rd Sing,совокупля́ется
1st Pl,совокупля́емся
2nd Pl,совокупля́етесь
3rd Pl,совокупля́ются
Past M,совокупля́лся
Past F,совокупля́лась
Past N,совокупля́лось
Past PL,совокупля́лись
Imp S,совокупля́йся
Imp PL,совокупля́йтесь
