Infinitive,соверше́нствоваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соверше́нствующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соверше́нствовавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соверше́нствуясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соверше́нствовавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соверше́нствуюсь
2nd Sing,соверше́нствуешься
3rd Sing,соверше́нствуется
1st Pl,соверше́нствуемся
2nd Pl,соверше́нствуетесь
3rd Pl,соверше́нствуются
Past M,соверше́нствовался
Past F,соверше́нствовалась
Past N,соверше́нствовалось
Past PL,соверше́нствовались
Imp S,соверше́нствуйся
Imp PL,соверше́нствуйтесь
