Infinitive,соска́льзывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,соска́льзывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соска́льзывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соска́льзывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соска́льзывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,соска́льзывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,соска́льзываю
2nd Sing,соска́льзываешь
3rd Sing,соска́льзывает
1st Pl,соска́льзываем
2nd Pl,соска́льзываете
3rd Pl,соска́льзывают
Past M,соска́льзывал
Past F,соска́льзывала
Past N,соска́льзывало
Past PL,соска́льзывали
Imp S,соска́льзывай
Imp PL,соска́льзывайте
