Infinitive,состяза́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,состяза́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,состяза́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,состяза́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,состяза́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,состяза́юсь
2nd Sing,состяза́ешься
3rd Sing,состяза́ется
1st Pl,состяза́емся
2nd Pl,состяза́етесь
3rd Pl,состяза́ются
Past M,состяза́лся
Past F,состяза́лась
Past N,состяза́лось
Past PL,состяза́лись
Imp S,состяза́йся
Imp PL,состяза́йтесь
