Infinitive,сощу́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сощу́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сощу́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сощу́рюсь
2nd Sing,сощу́ришься
3rd Sing,сощу́рится
1st Pl,сощу́римся
2nd Pl,сощу́ритесь
3rd Pl,сощу́рятся
Past M,сощу́рился
Past F,сощу́рилась
Past N,сощу́рилось
Past PL,сощу́рились
Imp S,сощу́рься
Imp PL,сощу́рьтесь
