Infinitive,соревнова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соревну́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соревнова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соревну́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соревнова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соревну́юсь
2nd Sing,соревну́ешься
3rd Sing,соревну́ется
1st Pl,соревну́емся
2nd Pl,соревну́етесь
3rd Pl,соревну́ются
Past M,соревнова́лся
Past F,соревнова́лась
Past N,соревнова́лось
Past PL,соревнова́лись
Imp S,соревну́йся
Imp PL,соревну́йтесь
