Infinitive,совмести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,совмести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,совмещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,совмести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,совмести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,совмещу́
2nd Sing,совмести́шь
3rd Sing,совмести́т
1st Pl,совмести́м
2nd Pl,совмести́те
3rd Pl,совместя́т
Past M,совмести́л
Past F,совмести́ла
Past N,совмести́ло
Past PL,совмести́ли
Imp S,совмести́
Imp PL,совмести́те
