Infinitive,содержа́ться
Zaliznyak Class,5c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,содержа́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,содержа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,содержа́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,содержа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,содержу́сь
2nd Sing,соде́ржишься
3rd Sing,соде́ржится
1st Pl,соде́ржимся
2nd Pl,соде́ржитесь
3rd Pl,соде́ржатся
Past M,содержа́лся
Past F,содержа́лась
Past N,содержа́лось
Past PL,содержа́лись
Imp S,содержи́сь
Imp PL,содержи́тесь
