Infinitive,сотка́ть
Zaliznyak Class,"6°b/c,a"
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сотка́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́тканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сотка́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сотка́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сотку́
2nd Sing,соткёшь
3rd Sing,соткёт
1st Pl,соткём
2nd Pl,соткёте
3rd Pl,сотку́т
Past M,сотка́л
Past F,соткала́
Past N,сотка́ло
Past PL,сотка́ли
Imp S,сотки́
Imp PL,сотки́те
