Infinitive,совлада́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,совлада́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,совлада́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,совлада́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,совлада́ю
2nd Sing,совлада́ешь
3rd Sing,совлада́ет
1st Pl,совлада́ем
2nd Pl,совлада́ете
3rd Pl,совлада́ют
Past M,совлада́л
Past F,совлада́ла
Past N,совлада́ло
Past PL,совлада́ли
Imp S,совлада́й
Imp PL,совлада́йте
