Infinitive,сочи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соча́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сочи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соча́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сочи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сочу́сь
2nd Sing,сочи́шься
3rd Sing,сочи́тся
1st Pl,сочи́мся
2nd Pl,сочи́тесь
3rd Pl,соча́тся
Past M,сочи́лся
Past F,сочи́лась
Past N,сочи́лось
Past PL,сочи́лись
Imp S,сочи́сь
Imp PL,сочи́тесь
