Infinitive,сосуществова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сосуществу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сосуществова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сосуществу́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сосуществова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сосуществова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сосуществу́ю
2nd Sing,сосуществу́ешь
3rd Sing,сосуществу́ет
1st Pl,сосуществу́ем
2nd Pl,сосуществу́ете
3rd Pl,сосуществу́ют
Past M,сосуществова́л
Past F,сосуществова́ла
Past N,сосуществова́ло
Past PL,сосуществова́ли
Imp S,сосуществу́й
Imp PL,сосуществу́йте
