Infinitive,состоя́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,состоя́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,состоя́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,состою́сь
2nd Sing,состои́шься
3rd Sing,состои́тся
1st Pl,состои́мся
2nd Pl,состои́тесь
3rd Pl,состоя́тся
Past M,состоя́лся
Past F,состоя́лась
Past N,состоя́лось
Past PL,состоя́лись
Imp S,—
Imp PL,—
