Infinitive,соста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,соста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,соста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соста́влю
2nd Sing,соста́вишь
3rd Sing,соста́вит
1st Pl,соста́вим
2nd Pl,соста́вите
3rd Pl,соста́вят
Past M,соста́вил
Past F,соста́вила
Past N,соста́вило
Past PL,соста́вили
Imp S,соста́вь
Imp PL,соста́вьте
