Infinitive,согну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,согну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,со́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,согну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,согну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,согну́
2nd Sing,согнёшь
3rd Sing,согнёт
1st Pl,согнём
2nd Pl,согнёте
3rd Pl,согну́т
Past M,согну́л
Past F,согну́ла
Past N,согну́ло
Past PL,согну́ли
Imp S,согни́
Imp PL,согни́те
