Infinitive,соблюда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,соблюда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соблюда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соблюда́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соблюда́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,соблюда́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,соблюда́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,соблюда́ю
2nd Sing,соблюда́ешь
3rd Sing,соблюда́ет
1st Pl,соблюда́ем
2nd Pl,соблюда́ете
3rd Pl,соблюда́ют
Past M,соблюда́л
Past F,соблюда́ла
Past N,соблюда́ло
Past PL,соблюда́ли
Imp S,соблюда́й
Imp PL,соблюда́йте
