Infinitive,солга́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,солга́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,солга́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,солга́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,солгу́
2nd Sing,солжёшь
3rd Sing,солжёт
1st Pl,солжём
2nd Pl,солжёте
3rd Pl,солгу́т
Past M,солга́л
Past F,солгала́
Past N,солга́ло
Past PL,солга́ли
Imp S,солги́
Imp PL,солги́те
