Infinitive,соста́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соста́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соста́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,соста́рюсь
2nd Sing,соста́ришься
3rd Sing,соста́рится
1st Pl,соста́римся
2nd Pl,соста́ритесь
3rd Pl,соста́рятся
Past M,соста́рился
Past F,соста́рилась
Past N,соста́рилось
Past PL,соста́рились
Imp S,соста́рься
Imp PL,соста́рьтесь
