Infinitive,сообрази́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сообрази́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соображённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сообрази́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сообрази́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,соображу́
2nd Sing,сообрази́шь
3rd Sing,сообрази́т
1st Pl,сообрази́м
2nd Pl,сообрази́те
3rd Pl,сообразя́т
Past M,сообрази́л
Past F,сообрази́ла
Past N,сообрази́ло
Past PL,сообрази́ли
Imp S,сообрази́
Imp PL,сообрази́те
