Infinitive,создава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,создаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,создава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,создава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,создава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,создаю́сь
2nd Sing,создаёшься
3rd Sing,создаётся
1st Pl,создаёмся
2nd Pl,создаётесь
3rd Pl,создаю́тся
Past M,создава́лся
Past F,создава́лась
Past N,создава́лось
Past PL,создава́лись
Imp S,создава́йся
Imp PL,создава́йтесь
