Infinitive,сосла́ться
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сосла́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сосла́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сошлю́сь
2nd Sing,сошлёшься
3rd Sing,сошлётся
1st Pl,сошлёмся
2nd Pl,сошлётесь
3rd Pl,сошлю́тся
Past M,сосла́лся
Past F,сосла́лась
Past N,сосла́лось
Past PL,сосла́лись
Imp S,сошли́сь
Imp PL,сошли́тесь
