Infinitive,состря́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,состря́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,состря́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,состря́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,состря́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,состря́паю
2nd Sing,состря́паешь
3rd Sing,состря́пает
1st Pl,состря́паем
2nd Pl,состря́паете
3rd Pl,состря́пают
Past M,состря́пал
Past F,состря́пала
Past N,состря́пало
Past PL,состря́пали
Imp S,состря́пай
Imp PL,состря́пайте
