Infinitive,собра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,собра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,собра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,соберу́сь
2nd Sing,соберёшься
3rd Sing,соберётся
1st Pl,соберёмся
2nd Pl,соберётесь
3rd Pl,соберу́тся
Past M,собра́лся
Past F,собрала́сь
Past N,собрало́сь
Past PL,собрали́сь
Imp S,собери́сь
Imp PL,собери́тесь
