Infinitive,сопровожда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сопровожда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сопровожда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сопровожда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сопровожда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сопровожда́юсь
2nd Sing,сопровожда́ешься
3rd Sing,сопровожда́ется
1st Pl,сопровожда́емся
2nd Pl,сопровожда́етесь
3rd Pl,сопровожда́ются
Past M,сопровожда́лся
Past F,сопровожда́лась
Past N,сопровожда́лось
Past PL,сопровожда́лись
Imp S,сопровожда́йся
Imp PL,сопровожда́йтесь
