Infinitive,согну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,согну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,согну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,согну́сь
2nd Sing,согнёшься
3rd Sing,согнётся
1st Pl,согнёмся
2nd Pl,согнётесь
3rd Pl,согну́тся
Past M,согну́лся
Past F,согну́лась
Past N,согну́лось
Past PL,согну́лись
Imp S,согни́сь
Imp PL,согни́тесь
