Infinitive,сосчита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сосчита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сосчи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сосчита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сосчита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сосчита́ю
2nd Sing,сосчита́ешь
3rd Sing,сосчита́ет
1st Pl,сосчита́ем
2nd Pl,сосчита́ете
3rd Pl,сосчита́ют
Past M,сосчита́л
Past F,сосчита́ла
Past N,сосчита́ло
Past PL,сосчита́ли
Imp S,сосчита́й
Imp PL,сосчита́йте
