Infinitive,совпада́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,совпада́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,совпада́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,совпада́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,совпада́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,совпада́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,совпада́ю
2nd Sing,совпада́ешь
3rd Sing,совпада́ет
1st Pl,совпада́ем
2nd Pl,совпада́ете
3rd Pl,совпада́ют
Past M,совпада́л
Past F,совпада́ла
Past N,совпада́ло
Past PL,совпада́ли
Imp S,совпада́й
Imp PL,совпада́йте
