Infinitive,содрога́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,содрога́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,содрога́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,содрога́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,содрога́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,содрога́юсь
2nd Sing,содрога́ешься
3rd Sing,содрога́ется
1st Pl,содрога́емся
2nd Pl,содрога́етесь
3rd Pl,содрога́ются
Past M,содрога́лся
Past F,содрога́лась
Past N,содрога́лось
Past PL,содрога́лись
Imp S,содрога́йся
Imp PL,содрога́йтесь
