Infinitive,согласова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,согласова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,согласова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,согласу́юсь
2nd Sing,согласу́ешься
3rd Sing,согласу́ется
1st Pl,согласу́емся
2nd Pl,согласу́етесь
3rd Pl,согласу́ются
Past M,согласова́лся
Past F,согласова́лась
Past N,согласова́лось
Past PL,согласова́лись
Imp S,согласу́йся
Imp PL,согласу́йтесь
