Infinitive,сойти́сь
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,соше́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,соше́дшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сойду́сь
2nd Sing,сойдёшься
3rd Sing,сойдётся
1st Pl,сойдёмся
2nd Pl,сойдётесь
3rd Pl,сойду́тся
Past M,сошёлся
Past F,сошла́сь
Past N,сошло́сь
Past PL,сошли́сь
Imp S,сойди́сь
Imp PL,сойди́тесь
