Infinitive,сойти́
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,соше́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,сше́дший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сойдя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,соше́дши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сойду́
2nd Sing,сойдёшь
3rd Sing,сойдёт
1st Pl,сойдём
2nd Pl,сойдёте
3rd Pl,сойду́т
Past M,сошёл
Past F,сошла́
Past N,сошло́
Past PL,сошли́
Imp S,сойди́
Imp PL,сойди́те
