Infinitive,сопровожда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сопровожда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сопровожда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сопровожда́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сопровожда́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сопровожда́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,сопровожда́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,сопровожда́ю
2nd Sing,сопровожда́ешь
3rd Sing,сопровожда́ет
1st Pl,сопровожда́ем
2nd Pl,сопровожда́ете
3rd Pl,сопровожда́ют
Past M,сопровожда́л
Past F,сопровожда́ла
Past N,сопровожда́ло
Past PL,сопровожда́ли
Imp S,сопровожда́й
Imp PL,сопровожда́йте
