Infinitive,согреши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,согреши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,согреши́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,согреши́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,согрешу́
2nd Sing,согреши́шь
3rd Sing,согреши́т
1st Pl,согреши́м
2nd Pl,согреши́те
3rd Pl,согреша́т
Past M,согреши́л
Past F,согреши́ла
Past N,согреши́ло
Past PL,согреши́ли
Imp S,согреши́
Imp PL,согреши́те
