Infinitive,сосредото́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сосредото́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сосредото́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сосредото́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сосредото́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сосредото́чиваюсь
2nd Sing,сосредото́чиваешься
3rd Sing,сосредото́чивается
1st Pl,сосредото́чиваемся
2nd Pl,сосредото́чиваетесь
3rd Pl,сосредото́чиваются
Past M,сосредото́чивался
Past F,сосредото́чивалась
Past N,сосредото́чивалось
Past PL,сосредото́чивались
Imp S,сосредото́чивайся
Imp PL,сосредото́чивайтесь
