Infinitive,соде́йствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,соде́йствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,соде́йствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,соде́йствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,соде́йствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,соде́йствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,соде́йствую
2nd Sing,соде́йствуешь
3rd Sing,соде́йствует
1st Pl,соде́йствуем
2nd Pl,соде́йствуете
3rd Pl,соде́йствуют
Past M,соде́йствовал
Past F,соде́йствовала
Past N,соде́йствовало
Past PL,соде́йствовали
Imp S,соде́йствуй
Imp PL,соде́йствуйте
