Infinitive,сопе́рничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сопе́рничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сопе́рничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сопе́рничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сопе́рничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сопе́рничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сопе́рничаю
2nd Sing,сопе́рничаешь
3rd Sing,сопе́рничает
1st Pl,сопе́рничаем
2nd Pl,сопе́рничаете
3rd Pl,сопе́рничают
Past M,сопе́рничал
Past F,сопе́рничала
Past N,сопе́рничало
Past PL,сопе́рничали
Imp S,сопе́рничай
Imp PL,сопе́рничайте
