Infinitive,сопоста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сопоста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сопоста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сопоста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сопоста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сопоста́влю
2nd Sing,сопоста́вишь
3rd Sing,сопоста́вит
1st Pl,сопоста́вим
2nd Pl,сопоста́вите
3rd Pl,сопоста́вят
Past M,сопоста́вил
Past F,сопоста́вила
Past N,сопоста́вило
Past PL,сопоста́вили
Imp S,сопоста́вь
Imp PL,сопоста́вьте
