Infinitive,сопроводи́ть
Zaliznyak Class,4b(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сопроводи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сопровождённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сопроводи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сопроводи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сопровожу́
2nd Sing,сопроводи́шь
3rd Sing,сопроводи́т
1st Pl,сопроводи́м
2nd Pl,сопроводи́те
3rd Pl,сопроводя́т
Past M,сопроводи́л
Past F,сопроводи́ла
Past N,сопроводи́ло
Past PL,сопроводи́ли
Imp S,сопроводи́
Imp PL,сопроводи́те
