Infinitive,уедини́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уедини́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уедини́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уединю́сь
2nd Sing,уедини́шься
3rd Sing,уедини́тся
1st Pl,уедини́мся
2nd Pl,уедини́тесь
3rd Pl,уединя́тся
Past M,уедини́лся
Past F,уедини́лась
Past N,уедини́лось
Past PL,уедини́лись
Imp S,уедини́сь
Imp PL,уедини́тесь
