Infinitive,уе́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уе́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уе́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,уе́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,уе́ду
2nd Sing,уе́дешь
3rd Sing,уе́дет
1st Pl,уе́дем
2nd Pl,уе́дете
3rd Pl,уе́дут
Past M,уе́хал
Past F,уе́хала
Past N,уе́хало
Past PL,уе́хали
Imp S,уезжа́й
Imp PL,уезжа́йте
