Infinitive,уезжа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уезжа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уезжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уезжа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уезжа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,уезжа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,уезжа́ю
2nd Sing,уезжа́ешь
3rd Sing,уезжа́ет
1st Pl,уезжа́ем
2nd Pl,уезжа́ете
3rd Pl,уезжа́ют
Past M,уезжа́л
Past F,уезжа́ла
Past N,уезжа́ло
Past PL,уезжа́ли
Imp S,уезжа́й
Imp PL,уезжа́йте
