Infinitive,метну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,метну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,метну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,метну́сь
2nd Sing,метнёшься
3rd Sing,метнётся
1st Pl,метнёмся
2nd Pl,метнётесь
3rd Pl,метну́тся
Past M,метну́лся
Past F,метну́лась
Past N,метну́лось
Past PL,метну́лись
Imp S,метни́сь
Imp PL,метни́тесь
