Infinitive,ме́ркнуть
Zaliznyak Class,3°a[⑤]⑥
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ме́ркнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ме́ркнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ме́ркнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ме́ркнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ме́ркну
2nd Sing,ме́ркнешь
3rd Sing,ме́ркнет
1st Pl,ме́ркнем
2nd Pl,ме́ркнете
3rd Pl,ме́ркнут
Past M,ме́рк
Past F,ме́ркла
Past N,ме́ркло
Past PL,ме́ркли
Imp S,ме́ркни
Imp PL,ме́ркните
