Infinitive,ме́шкать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ме́шкающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ме́шкавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ме́шкая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ме́шкав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ме́шкавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ме́шкаю
2nd Sing,ме́шкаешь
3rd Sing,ме́шкает
1st Pl,ме́шкаем
2nd Pl,ме́шкаете
3rd Pl,ме́шкают
Past M,ме́шкал
Past F,ме́шкала
Past N,ме́шкало
Past PL,ме́шкали
Imp S,ме́шкай
Imp PL,ме́шкайте
