Infinitive,меня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,меня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,меня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,меня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,меня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,меня́юсь
2nd Sing,меня́ешься
3rd Sing,меня́ется
1st Pl,меня́емся
2nd Pl,меня́етесь
3rd Pl,меня́ются
Past M,меня́лся
Past F,меня́лась
Past N,меня́лось
Past PL,меня́лись
Imp S,меня́йся
Imp PL,меня́йтесь
