Infinitive,мере́ть
Zaliznyak Class,9b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мру́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мёрший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мёрши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,мру́
2nd Sing,мрёшь
3rd Sing,мрёт
1st Pl,мрём
2nd Pl,мрёте
3rd Pl,мру́т
Past M,мёр
Past F,мёрла
Past N,мёрло
Past PL,мёрли
Imp S,мри́
Imp PL,мри́те
