Infinitive,ме́длить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ме́длящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ме́дливший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ме́для
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ме́длив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ме́дливши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ме́длю
2nd Sing,ме́длишь
3rd Sing,ме́длит
1st Pl,ме́длим
2nd Pl,ме́длите
3rd Pl,ме́длят
Past M,ме́длил
Past F,ме́длила
Past N,ме́длило
Past PL,ме́длили
Imp S,ме́дли
Imp PL,ме́длите
