Infinitive,метну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,метну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,метну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,метну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,метну́
2nd Sing,метнёшь
3rd Sing,метнёт
1st Pl,метнём
2nd Pl,метнёте
3rd Pl,метну́т
Past M,метну́л
Past F,метну́ла
Past N,метну́ло
Past PL,метну́ли
Imp S,метни́
Imp PL,метни́те
