Infinitive,меси́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,меся́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,меси́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,меси́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ме́шенный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,меся́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,меси́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,меси́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,мешу́
2nd Sing,ме́сишь
3rd Sing,ме́сит
1st Pl,ме́сим
2nd Pl,ме́сите
3rd Pl,ме́сят
Past M,меси́л
Past F,меси́ла
Past N,меси́ло
Past PL,меси́ли
Imp S,меси́
Imp PL,меси́те
