Infinitive,мерца́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мерца́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мерца́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мерца́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мерца́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,мерца́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,мерца́ю
2nd Sing,мерца́ешь
3rd Sing,мерца́ет
1st Pl,мерца́ем
2nd Pl,мерца́ете
3rd Pl,мерца́ют
Past M,мерца́л
Past F,мерца́ла
Past N,мерца́ло
Past PL,мерца́ли
Imp S,мерца́й
Imp PL,мерца́йте
