Infinitive,мелькну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мелькну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,мелькну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,мелькну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,мелькну́
2nd Sing,мелькнёшь
3rd Sing,мелькнёт
1st Pl,мелькнём
2nd Pl,мелькнёте
3rd Pl,мелькну́т
Past M,мелькну́л
Past F,мелькну́ла
Past N,мелькну́ло
Past PL,мелькну́ли
Imp S,мелькни́
Imp PL,мелькни́те
