Infinitive,мелька́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мелька́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мелька́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мелька́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мелька́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,мелька́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,мелька́ю
2nd Sing,мелька́ешь
3rd Sing,мелька́ет
1st Pl,мелька́ем
2nd Pl,мелька́ете
3rd Pl,мелька́ют
Past M,мелька́л
Past F,мелька́ла
Past N,мелька́ло
Past PL,мелька́ли
Imp S,мелька́й
Imp PL,мелька́йте
