Infinitive,мере́щиться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,мере́щащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мере́щившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мере́щась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мере́щившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,мере́щусь
2nd Sing,мере́щишься
3rd Sing,мере́щится
1st Pl,мере́щимся
2nd Pl,мере́щитесь
3rd Pl,мере́щатся
Past M,мере́щился
Past F,мере́щилась
Past N,мере́щилось
Past PL,мере́щились
Imp S,мере́щись
Imp PL,мере́щитесь
