Infinitive,меша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,меша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,меша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,меша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,меша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,меша́юсь
2nd Sing,меша́ешься
3rd Sing,меша́ется
1st Pl,меша́емся
2nd Pl,меша́етесь
3rd Pl,меша́ются
Past M,меша́лся
Past F,меша́лась
Past N,меша́лось
Past PL,меша́лись
Imp S,меша́йся
Imp PL,меша́йтесь
