Infinitive,мечта́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мечта́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мечта́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мечта́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мечта́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,мечта́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,мечта́ю
2nd Sing,мечта́ешь
3rd Sing,мечта́ет
1st Pl,мечта́ем
2nd Pl,мечта́ете
3rd Pl,мечта́ют
Past M,мечта́л
Past F,мечта́ла
Past N,мечта́ло
Past PL,мечта́ли
Imp S,мечта́й
Imp PL,мечта́йте
