Infinitive,нра́виться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нра́вящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нра́вившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нра́вясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нра́вившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нра́влюсь
2nd Sing,нра́вишься
3rd Sing,нра́вится
1st Pl,нра́вимся
2nd Pl,нра́витесь
3rd Pl,нра́вятся
Past M,нра́вился
Past F,нра́вилась
Past N,нра́вилось
Past PL,нра́вились
Imp S,нра́вься
Imp PL,нра́вьтесь
