Infinitive,уре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уре́жу
2nd Sing,уре́жешь
3rd Sing,уре́жет
1st Pl,уре́жем
2nd Pl,уре́жете
3rd Pl,уре́жут
Past M,уре́зал
Past F,уре́зала
Past N,уре́зало
Past PL,уре́зали
Imp S,уре́жь
Imp PL,уре́жьте
