Infinitive,уравня́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уравня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ура́вненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уравня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уравня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уравня́ю
2nd Sing,уравня́ешь
3rd Sing,уравня́ет
1st Pl,уравня́ем
2nd Pl,уравня́ете
3rd Pl,уравня́ют
Past M,уравня́л
Past F,уравня́ла
Past N,уравня́ло
Past PL,уравня́ли
Imp S,уравня́й
Imp PL,уравня́йте
