Infinitive,уравнове́шивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уравнове́шивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уравнове́шивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уравнове́шиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уравнове́шивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,уравнове́шивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,уравнове́шивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,уравнове́шиваю
2nd Sing,уравнове́шиваешь
3rd Sing,уравнове́шивает
1st Pl,уравнове́шиваем
2nd Pl,уравнове́шиваете
3rd Pl,уравнове́шивают
Past M,уравнове́шивал
Past F,уравнове́шивала
Past N,уравнове́шивало
Past PL,уравнове́шивали
Imp S,уравнове́шивай
Imp PL,уравнове́шивайте
