Infinitive,урони́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,урони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уро́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,урони́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,урони́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уроню́
2nd Sing,уро́нишь
3rd Sing,уро́нит
1st Pl,уро́ним
2nd Pl,уро́ните
3rd Pl,уро́нят
Past M,урони́л
Past F,урони́ла
Past N,урони́ло
Past PL,урони́ли
Imp S,урони́
Imp PL,урони́те
