Infinitive,уразуме́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уразуме́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уразуме́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,уразуме́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,уразуме́ю
2nd Sing,уразуме́ешь
3rd Sing,уразуме́ет
1st Pl,уразуме́ем
2nd Pl,уразуме́ете
3rd Pl,уразуме́ют
Past M,уразуме́л
Past F,уразуме́ла
Past N,уразуме́ло
Past PL,уразуме́ли
Imp S,уразуме́й
Imp PL,уразуме́йте
