Infinitive,уравнове́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уравнове́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уравнове́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уравнове́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уравнове́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уравнове́шу
2nd Sing,уравнове́сишь
3rd Sing,уравнове́сит
1st Pl,уравнове́сим
2nd Pl,уравнове́сите
3rd Pl,уравнове́сят
Past M,уравнове́сил
Past F,уравнове́сила
Past N,уравнове́сило
Past PL,уравнове́сили
Imp S,уравнове́сь
Imp PL,уравнове́сьте
