Infinitive,уви́деть
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уви́девший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уви́денный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уви́дев
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уви́девши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уви́жу
2nd Sing,уви́дишь
3rd Sing,уви́дит
1st Pl,уви́дим
2nd Pl,уви́дите
3rd Pl,уви́дят
Past M,уви́дел
Past F,уви́дела
Past N,уви́дело
Past PL,уви́дели
Imp S,уви́дь
Imp PL,уви́дьте
